State,TotalTweets,WarrenTweets,WarrenSent,SandersTweets,SandersSent,BidenTweets,BidenSent,ButtigiegTweets,ButtigiegSent
DE,357,93,1.4,107,1.56,68,1.63,38,1.66
HI,408,130,1.4,74,1.64,70,1.54,81,1.67
PR,99,21,1.57,22,1.64,27,1.52,16,1.69
TX,6532,1810,1.47,1161,1.6,1403,1.52,1234,1.53
MA,2766,1022,1.44,458,1.6,449,1.55,473,1.49
MD,1446,445,1.48,282,1.62,218,1.56,296,1.59
IA,1086,390,1.47,198,1.54,129,1.6,278,1.47
ME,512,128,1.47,91,1.53,90,1.72,86,1.5
ID,392,98,1.41,88,1.69,82,1.49,63,1.48
MI,2049,681,1.45,408,1.61,337,1.49,361,1.59
UT,464,152,1.57,80,1.61,88,1.48,74,1.58
MN,1416,460,1.47,318,1.6,212,1.43,273,1.52
MO,1109,323,1.54,226,1.62,226,1.5,220,1.55
IL,2641,886,1.46,507,1.53,387,1.52,557,1.58
IN,1633,382,1.54,271,1.58,201,1.54,654,1.59
MS,316,118,1.42,59,1.56,65,1.71,44,1.41
MT,322,105,1.37,54,1.5,71,1.56,54,1.43
AK,217,61,1.39,44,1.39,38,1.42,49,1.71
AL,909,242,1.41,178,1.59,201,1.45,196,1.48
VA,2139,634,1.5,343,1.57,415,1.53,452,1.62
AR,495,118,1.47,103,1.65,107,1.5,60,1.6
AS,177,23,1.39,38,1.45,57,1.39,26,1.38
VI,56,18,1.28,5,1.6,12,1.75,8,1.38
NC,2172,611,1.43,444,1.57,397,1.54,447,1.57
ND,149,34,1.5,29,1.59,31,1.39,33,1.58
NE,426,117,1.51,79,1.57,76,1.67,94,1.44
RI,490,173,1.49,90,1.61,79,1.51,82,1.55
AZ,1590,481,1.48,315,1.65,347,1.58,257,1.7
NH,630,199,1.45,106,1.67,82,1.6,186,1.66
NJ,2394,778,1.48,553,1.61,346,1.54,366,1.54
VT,238,56,1.62,75,1.69,30,1.37,37,1.73
NM,366,109,1.51,86,1.51,57,1.56,64,1.52
FL,5197,1370,1.45,965,1.6,1292,1.53,863,1.55
NV,891,271,1.51,208,1.61,156,1.47,142,1.56
WA,2009,661,1.47,506,1.56,259,1.49,383,1.56
NY,11884,3150,1.43,1936,1.56,1471,1.55,2436,1.57
SC,999,211,1.47,224,1.63,242,1.57,191,1.61
SD,106,35,1.37,26,1.65,13,1.54,20,1.8
WI,1203,341,1.52,263,1.59,189,1.52,247,1.49
OH,2185,683,1.46,443,1.6,433,1.53,386,1.6
GA,2136,629,1.47,386,1.58,452,1.51,423,1.56
OK,625,147,1.46,224,1.73,107,1.63,80,1.61
CA,12700,3920,1.46,2928,1.56,1811,1.49,2428,1.56
WV,284,76,1.47,51,1.43,59,1.46,71,1.61
WY,90,30,1.67,18,1.61,23,1.65,8,1.38
OR,2413,710,1.43,639,1.54,321,1.5,508,1.6
KS,946,248,1.44,248,1.63,183,1.51,158,1.57
CO,1664,462,1.5,366,1.56,308,1.51,315,1.55
GU,7,1,2.0,0,null,4,1.75,0,null
KY,676,212,1.53,131,1.65,141,1.55,98,1.57
CT,865,254,1.47,216,1.53,123,1.6,127,1.57
PA,3072,746,1.44,912,1.64,489,1.53,546,1.59
LA,1040,336,1.45,227,1.57,210,1.6,142,1.51
TN,1289,379,1.41,257,1.66,260,1.5,239,1.55
DC,3792,1075,1.44,508,1.49,403,1.52,1029,1.52
